目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
1608,3,93.9113835,93.33313142,96.27969715,96.29787385,89.94630033,97.24515753,89.07760813,88.52325126,2,25,1,20,3,5,1.0,1978,6,20,4,2,20.0,9,10,25,0,0
1609,3,77.80869155,83.81193735,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,10,1,5,5,6,1.0,1993,6,5,4,8,30.0,25,10,0,0,0
1610,3,56.68971991,55.57676345,55.57808492,55.55074507,55.54749785,55.55548143,55.55595146,55.54909078,2,35,1,15,3,5,1.0,1985,4,11,4,3,34.0,24,18,20,10,0
1611,3,61.6783136,59.2316568,66.69170125,62.4998135,61.63939907,66.66457788,68.75110538,58.87685662,2,5,2,5,3,5,1.0,1980,5,16,3,6,50.0,39,40,20,10,0
1612,3,66.1538103,68.56551382,74.05246448,63.3952946,63.47490824,67.19929117,64.70019243,62.55391762,1,12,2,10,3,5,1.0,1985,4,11,5,5,14.0,9,10,21,8,0
1613,3,85.04342101,78.93230421,74.05246448,81.45251238,82.7780967,78.10215981,77.78635512,81.44178887,1,27,2,5,3,5,1.0,1981,6,16,4,3,16.0,13,11,0,0,0
1614,3,79.83956868,77.80346762,85.16608081,77.76704377,77.76249789,83.5955792,77.77433233,77.76472787,2,31,1,6,3,5,1.0,1989,6,8,1,5,18.0,11,13,30,10,0
1615,3,85.24190481,71.60803727,70.44455435,69.92249424,75.82296497,77.77367433,66.66514189,62.55391762,1,12,2,11,3,5,1.0,1985,4,11,5,5,16.0,10,9,16,12,0
1616,3,71.59499593,65.46499932,55.57808492,74.50344395,71.61036612,77.77367433,81.97030487,77.76472787,2,45,1,20,4,5,2.0,1975,5,21,7,3,17.0,10,11,20,5,0
1617,3,84.37559749,87.89911943,81.41322771,85.1897245,62.33837528,75.56167793,82.16439024,69.90803963,2,15,3,6,3,5,1.0,1980,4,15,5,4,28.0,20,16,15,20,0
1618,3,87.81356492,86.89237296,85.16608081,89.77067421,85.62967773,86.13606108,84.49346486,84.76955472,2,35,3,9,5,6,2.0,1985,6,12,5,2,25.0,15,16,0,0,1
1620,3,85.04342101,85.62934458,74.19740745,85.6115933,85.85416258,86.13606108,84.31140228,84.76955472,2,24,1,3,5,6,1.0,1981,3,13,4,2,35.0,20,26,20,15,0
1621,3,69.44863886,82.21977934,66.69170125,78.24065607,68.43027649,79.98567074,88.88352277,81.86771957,2,29,2,8,3,5,1.0,1991,6,7,4,4,42.0,22,35,0,0,0
1622,3,85.04342101,81.45836097,77.80531758,81.45251238,77.76249789,80.52038403,86.7855365,81.86771957,1,7,2,10,4,5,2.0,1988,6,8,3,3,50.0,35,30,0,0,0
1623,3,72.22396995,77.80346762,81.55817068,84.7161122,77.59824359,72.48648275,80.06640397,78.53995373,2,31,1,10,5,6,1.0,1989,6,8,4,4,40.0,15,12,30,26,0
1624,3,71.29713052,74.11066211,66.54338037,67.08076321,81.00281808,82.73238044,73.33524865,84.76955472,2,25,1,15,3,5,1.0,1983,6,14,5,4,40.0,19,11,20,30,0
1625,3,64.30531863,70.58996057,74.05246448,62.4998135,74.52217771,83.38935139,80.05438118,81.51842442,2,36,1,10,3,5,1.0,1983,6,14,2,3,47.0,29,16,20,25,0
1626,3,66.18485551,62.42285229,55.57808492,58.81434489,60.3386118,66.66457788,68.76312816,70.75990103,2,51,1,17,5,6,1.0,1968,5,30,3,2,43.0,38,34,7,0,0
1628,3,66.69459328,77.80346762,70.29961138,77.76704377,75.98721927,77.77367433,77.77433233,74.43696203,2,27,1,3,3,5,1.0,1993,6,4,6,8,18.0,8,12,25,10,0
1629,3,70.57396208,72.49154574,74.05246448,70.81797534,66.81925217,71.95176946,73.38427443,73.66173617,1,11,2,12,3,5,1.0,1985,5,12,3,5,15.0,9,10,21,21,0
1630,3,86.74877381,80.84599107,88.77399094,92.56066173,82.942351,79.98567074,79.81127004,85.54478058,2,4,3,2,4,5,2.0,1989,3,7,7,9,21.0,15,8,30,20,0
1631,3,77.62630608,75.09045022,77.80531758,77.76704377,80.77833322,75.23319245,73.20221184,74.43696203,1,20,3,11,5,6,1.0,1989,6,10,5,5,20.0,11,10,0,0,0
1632,3,69.65230984,66.69011554,70.44455435,69.92249424,72.74689909,66.66457788,66.66514189,66.65690932,1,10,1,6,3,5,1.0,1991,5,6,6,7,35.0,25,27,10,6,0
1633,3,84.32025257,86.52495475,81.55817068,85.6115933,85.79393203,86.13606108,86.59145113,85.54478058,2,29,1,7,3,5,1.0,1990,5,7,5,7,40.0,18,30,14,6,1
1634,3,89.13804846,86.6011555,92.52684404,89.29706191,90.80953083,78.30838762,86.40938855,76.98950202,1,15,1,8,3,5,1.0,1989,5,8,5,2,40.0,18,30,12,9,1
1635,3,87.21743701,87.65379133,92.67178702,85.6115933,85.62967773,80.52038403,84.49346486,84.76955472,2,10,1,8,5,6,1.0,1980,6,18,5,2,60.0,24,20,15,25,0
1636,3,84.50263803,80.80770249,66.69170125,74.50344395,77.59824359,72.48648275,86.59145113,78.53995373,2,5,3,10,4,6,1.0,1990,6,10,5,5,15.0,10,9,0,0,0
1637,3,69.11152686,74.14857428,74.05246448,74.50344395,72.74689909,77.77367433,75.48226069,67.00620448,2,32,2,8,6,6,1.0,1988,4,12,6,6,18.0,12,8,30,0,0
1638,3,90.83181359,86.33799411,85.31102379,77.76704377,83.91462966,77.77367433,73.33524865,93.32483328,2,25,1,18,3,5,1.0,1980,5,16,4,5,16.0,10,10,20,10,0
1639,3,88.92278981,99.0301718,88.91893392,99.98334246,93.88559672,99.99186723,99.9927132,99.98036497,2,35,2,10,5,6,1.0,1984,5,12,4,2,30.0,11,10,18,33,0
1640,3,67.41776173,70.38292105,66.69170125,81.03064359,77.53801304,66.66457788,75.49428348,70.75990103,1,12,2,11,3,5,1.0,1985,6,12,5,5,16.0,11,11,19,19,0
1641,3,87.07429814,83.23747961,85.16608081,81.45251238,85.62967773,83.06086591,82.15236745,77.76472787,1,20,1,6,3,5,1.0,1990,6,7,3,2,20.0,15,10,28,8,0
1643,3,67.80381817,70.95737878,70.44455435,66.65889442,69.73106376,69.41128758,71.23726238,69.98467517,2,35,1,7,3,5,1.0,1985,6,12,4,2,30.0,15,20,21,5,0
1644,3,63.6131954,56.74237536,55.57808492,55.55074507,55.54749785,52.47751831,55.55595146,52.21832964,2,10,2,3,3,5,1.0,1979,5,15,4,4,50.0,10,20,20,25,0
1645,3,83.93419612,84.64955647,81.55817068,84.7161122,84.01865341,80.52038403,84.49346486,84.76955472,2,20,2,6,3,5,1.0,1984,6,11,1,4,18.0,5,14,20,25,0
1646,3,73.2061543,79.5446741,77.80531758,74.08157516,69.73106376,80.84886951,75.49428348,70.75990103,1,17,2,7,5,6,1.0,1987,4,11,5,6,17.0,13,10,25,0,0
1648,3,70.25179696,86.0817122,85.02113784,88.87519312,82.7780967,80.84886951,86.59145113,88.52325126,2,14,2,12,5,6,1.0,1981,4,17,8,10,20.0,12,13,15,8,0
1649,3,82.79728523,81.36208133,74.05246448,81.45251238,84.01865341,86.13606108,82.15236745,74.43696203,2,31,2,6,3,5,1.0,1988,5,7,6,2,25.0,15,20,0,0,0
1650,3,76.10333875,77.80346762,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,1,10,1,5,3,5,1.0,1990,6,6,4,4,30.0,20,22,50,10,0
1652,3,68.72547041,72.77478601,70.29961138,66.65889442,66.65499787,71.95176946,71.04317701,66.65690932,2,25,2,5,4,6,1.0,1994,6,3,3,8,30.0,8,15,0,0,0
1653,3,76.94238423,80.99466312,88.91893392,85.6115933,82.55361184,86.13606108,84.31140228,81.09249372,1,10,1,5,3,5,1.0,1985,5,13,7,3,30.0,20,20,20,5,0
1654,3,84.50263803,77.04204926,81.41322771,81.03064359,71.50634238,80.52038403,84.2993795,85.19548542,2,40,2,15,4,5,2.0,1980,5,17,6,2,60.0,30,40,10,10,0
1655,3,79.45351223,86.31791523,62.93884815,88.87519312,68.43027649,88.88277078,91.16357162,81.86771957,1,10,2,7,3,5,1.0,1990,4,7,4,7,52.0,28,36,0,10,0
1656,3,73.53167864,81.09094276,85.16608081,85.1897245,80.83856378,80.52038403,84.44443909,81.44178887,2,38,1,15,5,6,1.0,1981,6,15,7,9,40.0,35,22,0,0,0
1658,3,70.57396208,68.67665012,70.44455435,66.65889442,71.67059668,71.95176946,73.38427443,70.33397033,2,10,1,5,4,6,1.0,1982,6,15,4,1,60.0,18,50,0,0,0
1660,3,79.83956868,74.51599249,70.44455435,77.76704377,77.98698275,80.84886951,75.6152975,73.66173617,2,45,2,15,4,5,2.0,1975,8,22,3,2,60.0,50,46,0,0,0
1661,3,78.54795832,73.53620438,70.44455435,70.81797534,74.52217771,71.95176946,77.76230954,78.11402303,2,40,1,15,4,5,2.0,1980,4,16,3,2,50.0,45,46,0,0,0
1662,3,77.80869155,77.80346762,77.80531758,77.76704377,77.76249789,83.26709373,77.77433233,77.76472787,1,12,1,10,6,6,2.0,1987,6,11,4,1,60.0,50,50,10,0,0
1663,3,76.88703931,75.12836239,88.91893392,84.7161122,82.6138424,80.52038403,84.49346486,77.33879717,2,41,2,20,4,5,2.0,1978,5,19,7,9,40.0,30,24,0,0,0
1664,3,85.55133081,85.15116648,81.55817068,85.1897245,77.82272845,85.80757561,86.60347392,88.87254642,1,15,1,10,3,5,1.0,1985,8,11,3,1,65.0,34,45,30,10,0
1665,3,77.62630608,80.47857286,85.31102379,81.92612469,85.79393203,89.21125626,84.62650167,74.43696203,1,23,2,5,5,6,1.0,1982,5,16,5,2,68.0,27,17,15,26,0
1666,3,89.90497416,81.09094276,85.16608081,81.92612469,80.83856378,77.77367433,82.16439024,81.86771957,2,10,2,8,5,6,1.0,1981,5,14,5,2,55.0,22,15,20,30,0
1667,3,80.7664081,83.52071989,85.16608081,88.45332432,82.6138424,86.13606108,82.16439024,88.44661572,2,10,1,8,5,6,1.0,1984,3,16,5,1,55.0,22,19,20,33,0
1668,3,81.68806034,85.91258485,85.16608081,81.03064359,82.7780967,86.13606108,82.16439024,81.86771957,2,10,1,8,5,6,1.0,1982,6,13,5,2,66.0,38,23,25,20,0
1670,3,84.31506538,82.21977934,77.80531758,81.45251238,74.68643201,74.69847916,80.05438118,84.76955472,1,15,2,5,3,5,1.0,1986,6,10,3,4,20.0,15,15,0,12,0
1671,3,57.22867492,64.94890906,66.69170125,58.81434489,59.0350558,75.02696464,62.01788699,70.33397033,2,20,2,18,4,5,2.0,1980,5,19,4,6,40.0,21,21,0,15,0
1672,3,85.36894535,82.07073087,81.55817068,85.1897245,80.83856378,80.84886951,86.60347392,80.66656302,2,5,1,8,3,5,1.0,1990,6,6,4,4,20.0,12,14,20,0,0
1673,3,83.39341314,78.93230421,66.69170125,81.03064359,71.44611182,69.41128758,82.15236745,85.19548542,2,32,1,6,3,5,1.0,1987,6,8,3,4,22.0,15,15,15,0,0
1674,3,96.15751928,95.57594792,85.16608081,93.03427403,95.12615343,94.70467565,88.94457133,89.64777228,2,10,2,6,3,5,1.0,1989,6,7,3,3,28.0,8,14,0,25,1
1675,3,96.48304361,98.00572505,85.16608081,93.03427403,87.56921065,86.13606108,84.49346486,88.87254642,2,10,1,12,5,6,1.0,1985,6,8,3,7,30.0,16,20,0,0,1
1679,3,82.65414637,67.95314392,62.93884815,66.65889442,66.65499787,66.66457788,75.48226069,77.76472787,2,40,1,20,3,5,1.0,1980,6,17,6,2,30.0,25,25,10,0,0
1682,3,74.97801553,74.51599249,77.66037461,78.18891256,74.62620145,78.10215981,71.23726238,75.21218788,2,3,4,4,5,6,2.0,1986,6,11,3,8,15.0,8,9,30,10,0
1683,3,72.27931487,76.54043924,77.80531758,77.76704377,77.76249789,77.77367433,77.77433233,77.76472787,2,5,3,5,4,5,2.0,1991,4,6,2,4,15.0,10,10,25,10,0
1684,3,88.95047581,82.58719755,77.80531758,91.66518063,87.46518691,94.49844784,86.53040257,84.42025956,2,28,1,4,3,5,1.0,1992,6,4,4,8,24.0,10,9,40,10,0
1685,3,77.80869155,77.80346762,77.80531758,77.76704377,80.83856378,77.77367433,77.77433233,77.76472787,2,40,1,15,3,5,1.0,1980,5,17,7,9,30.0,20,26,0,0,0
1689,3,77.80869155,81.97445123,88.91893392,81.92612469,73.0316145,75.56167793,77.72530655,77.33879717,1,15,1,5,4,6,1.0,1982,6,15,4,1,60.0,18,50,0,0,0
1690,3,80.7664081,76.54043924,74.19740745,77.76704377,84.07888396,88.88277078,84.44443909,88.87254642,2,20,1,15,3,5,1.0,1976,6,20,4,7,20.0,14,14,0,0,0
1692,3,82.95201177,85.11325432,92.52684404,99.98334246,81.31305513,77.77367433,91.11454584,92.62624297,2,10,3,3,3,5,1.0,1987,6,8,1,5,10.0,5,8,10,6,0
1693,3,79.65718321,79.82791437,77.80531758,81.03064359,77.82272845,77.77367433,80.05438118,81.44178887,2,27,1,3,3,5,1.0,1993,6,3,4,8,39.0,11,24,18,5,0
1694,3,70.57396208,65.62355583,63.08379112,73.60796285,69.79129431,69.94600087,71.17621382,69.20944931,2,32,1,12,3,5,1.0,1988,6,10,2,2,30.0,18,15,0,0,0
1695,3,66.69459328,75.03245917,55.57808492,74.50344395,74.68643201,69.73977306,64.31202169,66.65690932,1,8,1,3,5,6,1.0,1989,5,8,4,7,35.0,13,6,20,26,0
1696,3,67.41776173,62.42285229,62.93884815,66.65889442,60.3386118,71.95176946,59.93398658,66.65690932,2,10,2,3,4,5,2.0,1985,5,12,4,7,30.0,20,8,30,20,0
