品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
1,85.87587510167813,80.35819642900475,88.79195043931496,88.99989654385804,87.11837021090211,86.05235682143079,88.88311596065336,84.76955472,2,38,1,20,3,5,1,39,6,14,6,3,40,35,36,14,0,1
2,87.55815515911917,82.61390822010681,86.4995591970529,91.25112666599722,87.54533255005785,80.81830783980494,88.87577196458004,84.76955472,2,39,2,20,4,6,1,40,5,15,5,2,37,32,32,5,0,1
1,85.64892555330032,81.03232804389594,87.5870843341181,88.20834789005782,86.28395363489733,85.84530182716449,87.7007114742262,84.76955472,2,38,1,18,3,5,1,39,6,14,6,3,40,34,36,15,1,1
2,85.39601012939744,82.54322151424913,85.06884517410433,86.9474879629987,84.75097134927245,84.90560689306555,85.46427144714019,84.76955472,2,37,1,15,4,5,2,38,6,13,6,2,40,32,36,15,3,1
1,87.04755261514882,81.92925873270063,87.19534156390499,90.5678374464986,87.41574172741916,82.4069367446431,88.87800100073925,84.76955472,2,39,1,20,4,5,1,40,5,15,5,3,38,33,33,8,0,1
1,85.76818205294421,80.31990068842414,88.77450257399887,88.80287763095684,87.00679646740856,86.28839354076747,88.7552537602523,84.76955472,2,38,1,20,3,5,1,39,6,14,6,3,40,35,36,15,0,1
2,85.38689197392839,82.59769253601311,84.97805713194013,86.9020311985902,84.69570397729515,84.8717288307063,85.38364288147383,84.76955472,2,37,1,15,4,5,2,38,6,13,6,2,40,32,36,15,3,1
2,88.20292836144705,83.47846255435363,85.62094660474172,92.11396329572973,87.70897585871694,78.81223607541789,88.87295720621378,84.76955472,2,40,2,20,5,6,1,41,4,16,4,2,36,31,31,2,0,1
1,85.63422507990708,81.12014731928132,87.44071402898483,88.13506158144011,86.19485046770268,85.7906829345588,87.57072048116459,84.76955472,2,38,1,18,3,5,1,39,6,14,6,3,40,34,36,15,1,1
1,86.17908357429505,80.76475829949639,88.37877758849726,89.40565065348075,87.19532446007587,85.10898952042686,88.8817923036187,84.76955472,2,38,1,20,3,5,1,39,6,14,6,3,39,34,35,13,0,1
2,85.38896254543917,82.58532313233154,84.9986734873273,86.91235362418124,84.70825421799688,84.87942193826515,85.40195219979935,84.76955472,2,37,1,15,4,5,2,38,6,13,6,2,40,32,36,15,3,1
1,86.7896492598346,81.583444944459,87.54677852617368,90.22271072427658,87.3502859078759,83.20934701412791,88.87912687821745,84.76955472,2,39,1,20,4,5,1,40,5,15,5,3,38,33,34,10,0,1
1,86.53145560733911,81.23724190665583,87.898611067474,89.87719552585763,87.28475641096662,84.0126604802353,88.88025402298844,84.76955472,2,39,1,20,4,5,1,40,5,15,5,3,39,34,34,11,0,1
2,85.05055246536025,84.60695381187954,81.62917746115616,85.22527696313807,82.65706789637065,83.62207577490783,82.4095137119493,84.76955472,2,37,1,10,4,5,2,38,6,13,6,2,40,30,36,15,5,1
2,87.96895766517333,83.16473925006635,85.93977126934584,91.80086329979298,87.64959414320943,79.54018507483988,88.87397860563364,84.76955472,2,40,2,20,5,6,1,41,4,16,4,2,36,31,31,3,0,1
2,85.3754859826747,82.66583087823892,84.86448946813168,86.84516888043571,84.62656947267678,84.82935042596509,85.28278380773817,84.76955472,2,37,1,14,4,5,2,38,6,13,6,2,40,32,36,15,3,1
1,85.74796372249247,80.44068313415077,88.57319183261356,88.70208313505285,86.88424821808026,86.21327331912084,88.57647034402031,84.76955472,2,38,1,20,3,5,1,39,6,14,6,3,40,35,36,15,0,1
2,83.45564509192548,81.09477968754219,83.19221322640496,81.71162304301991,86.43119382649532,82.05904044876142,81.09905076399919,81.44178887,2,32,1,7,5,6,1,33,6,8,4,6,28,16,11,0,0,1
2,86.1020106505515,81.18794779223329,81.78629802701016,81.89617829003474,83.96664957832984,80.5411540931068,84.18715896706613,81.84078806752348,2,32,1,11,3,5,1,33,5,8,6,3,30,18,11,0,0,1
1,82.17589872518639,81.05607369816985,83.99201171899553,81.31522982889653,85.62967773,82.56940244371707,81.60057768178199,83.85987093076439,2,32,1,7,5,6,1,33,5,8,6,2,28,15,11,0,0,1
1,83.38011172414521,82.24783419464333,84.27883957405565,81.56898101589778,85.19310909602619,80.76808981960761,82.82966446459231,81.54653185612716,2,31,1,7,5,6,1,32,5,8,6,2,28,15,11,0,0,1
1,82.42231461815568,82.60886622042034,85.14512943573143,81.45526267820796,85.63818532385255,80.86171472032599,82.33321242456726,81.44178887,2,31,1,6,5,6,1,32,5,8,6,2,27,14,11,0,0,1
2,83.72758967716936,80.69631313239961,82.67825858939145,81.77909014560852,86.63989217984911,82.37414414200036,80.77425285139851,81.44178887,2,32,1,7,5,6,1,33,6,8,4,7,28,16,11,0,0,1
2,83.61310803029853,80.86405726091297,82.89462021766008,81.75068823789258,86.55203556314265,82.24149362533454,80.91098438404286,81.44178887,2,32,1,7,5,6,1,33,6,8,4,6,28,16,11,0,0,1
1,82.2849389494832,81.78308679734891,84.53601682571443,81.37883972156459,85.62967773,81.77219322545943,81.94617904994176,82.73945220958355,2,31,1,6,5,6,1,32,5,8,6,2,28,15,11,0,0,1
1,82.24120209821429,81.4914763939918,84.31781229985683,81.35332531683189,85.62967773,82.09195981832912,81.80755575074173,83.18886055667019,2,31,1,6,5,6,1,32,5,8,6,2,28,15,11,0,0,1
1,82.88095413737057,81.9368450837983,84.27833553576563,81.56904718127615,85.99015891566826,81.39314286492512,81.78543480162408,81.44178887,2,31,1,6,5,6,1,32,5,8,5,4,27,15,11,0,0,1
1,84.1920487354407,81.9316721984954,83.53531941075924,81.66658330902096,84.8272586724074,80.70039534581812,83.23460236235763,81.63430789605223,2,31,1,8,4,6,1,32,5,8,6,2,28,16,11,0,0,1
1,82.09296648161727,80.50313254450043,83.57826014883693,81.26685033274111,85.62967773,83.17573235078068,81.33772516999672,84.7120228672042,2,32,1,7,5,6,1,33,5,8,6,2,28,16,11,0,0,1
2,81.84658757647543,78.86042965614325,82.3490680461124,81.12312231115263,85.62967773,84.97704499141338,80.55683089678851,87.24363484439077,2,33,1,8,6,6,2,34,6,9,5,3,29,17,12,0,0,1
1,82.74200085917703,82.49630963303989,84.86318083196353,81.49227422359581,85.48063525509595,80.82129170426423,82.5114189989876,81.47754763200527,2,31,1,6,5,6,1,32,5,8,6,2,27,14,11,0,0,1
2,98.05096869723874,92.4488952151225,89.77418639754993,95.29695632336437,88.23000325374014,92.75478452909437,91.20214190366737,91.39156574335838,1,12,1,8,4,5,1,34,6,8,3,5,30,18,24,6,0,1
1,98.42485711160641,91.12381003549045,90.87303818925261,95.83651698335335,88.3875762786564,94.33308953592231,92.80189730191726,91.9922526946914,1,12,1,7,3,5,1,34,6,8,3,4,30,19,25,8,0,1
1,97.98465189265247,88.95012091010318,92.21535594071197,96.16259645626823,88.67281545091141,96.64764370160314,94.90430574762331,92.47652233653093,1,15,1,5,3,5,1,33,6,8,3,3,29,20,25,9,0,1
3,96.79213478025565,96.91028557361619,86.0744945858302,93.4803253902754,87.69947526585995,87.44083577435862,85.81597245629479,89.36913049591695,2,10,1,11,5,6,1,36,6,8,3,7,30,16,21,1,0,1
2,98.31034991444966,91.52963108819739,90.53650345342415,95.67127094604065,88.33931790867939,93.84971728996494,92.31195565154603,91.80828609791384,1,12,1,7,4,5,1,34,6,8,3,4,30,19,24,7,0,1
1,96.39838580553025,88.94316978532248,91.52727741126441,95.32268797705542,88.71397432426866,96.24207833669821,94.12599332139672,91.72424655593308,1,18,1,5,3,4,1,32,6,7,4,3,28,19,24,7,0,1
1,99.0179908431149,89.02170500372328,92.61624829831594,96.69247190288645,88.63754892467091,96.83690057200802,95.33973707550194,92.94517789702795,1,13,1,5,3,5,1,33,6,8,3,3,30,20,26,10,0,1
1,98.82223519199778,88.95379125650676,92.57867650186003,96.6060865622967,88.6510826626839,96.8617911130589,95.3152717861541,92.87374045488195,1,13,1,5,3,5,1,33,6,8,3,3,30,20,26,10,0,1
2,97.87154286989129,93.0847921713398,89.24685689419552,95.03802581334473,88.15438531727358,91.99736956041808,90.43443307703798,91.10330125299694,1,12,1,8,4,5,1,34,6,8,3,5,30,18,23,5,0,1
1,97.05564448817844,88.9460499371163,91.81237812134998,95.67069840549115,88.69692042196205,96.41012161747511,94.44848183962411,92.03594696518843,1,16,1,5,3,5,1,33,6,7,4,3,28,20,25,8,0,1
2,90.51524758892504,88.91738947760629,88.97533412414384,92.20763829363686,88.86662421243449,94.73791890406967,91.23939086776961,88.93420872420278,2,28,1,6,2,3,0,31,6,5,6,4,23,18,20,0,0,1
1,80.76521642458965,81.75184408114079,83.6305102835937,76.25904523589494,77.85435129471772,77.08065221279371,78.11619567610195,82.22056294850873,2,15,2,7,5,6,1,34,5,9,7,7,40,23,32,0,0,1
1,81.09113635313587,82.69735327357762,83.08983696680635,75.72807999846415,77.88669281478008,77.91941369164918,77.42952868910544,81.32306471455837,1,14,2,6,4,5,2,33,5,8,6,6,40,23,31,0,0,1
1,81.66862836797293,84.37268503688178,82.13182705169345,74.78727166514108,77.94399820775502,79.40560098480597,76.21283505637327,79.7328027574311,1,12,2,4,4,5,2,32,5,7,6,5,40,22,29,0,0,1
1,81.07388878088264,82.64731724728924,83.11844921564389,75.75617849902957,77.88498131249011,77.87502671821582,77.46586687353299,81.37056001718148,1,14,2,6,4,5,2,33,5,8,6,6,40,23,31,0,0,1
1,80.52286999518223,81.04878557906927,84.0325423053352,76.65385855708334,77.83030289748199,76.45696881168408,78.62678517344519,82.88792162573822,2,15,2,8,5,6,1,34,5,9,7,7,40,23,33,0,0,1
1,81.52265854761977,83.94921965513024,82.37397851286131,75.02507516696208,77.92951340501679,79.02994472182812,76.52037273037011,80.13476546207876,1,13,2,5,4,5,2,32,5,7,6,5,40,23,30,0,0,1
1,80.70657972070612,81.58173621819611,83.72778356576335,76.35457192411728,77.8485326872349,76.92974947823573,78.23973488084684,82.38203309369096,2,15,2,7,5,6,1,34,5,9,7,7,40,23,32,0,0,1
1,81.84365899127036,84.8804571882315,81.84146620122414,74.50212439945739,77.96136675726395,79.85604580754753,75.84407039915249,79.25081420276564,1,12,2,4,4,5,2,32,5,7,6,5,40,22,29,0,0,1
1,80.76343045257411,81.74666289149809,83.6334730585846,76.261954812672,77.85417407005389,77.07605597795886,78.1199584654111,82.22548104829166,2,15,2,7,5,6,1,34,5,9,7,7,40,23,32,0,0,1
1,82.06647662889313,85.52686173780636,81.47183077662892,74.1391259771398,77.98347728339706,80.4294714709649,75.37462529170362,78.63723271006147,1,11,2,3,4,5,2,31,5,6,6,4,40,22,28,0,0,1
1,80.84812947890931,81.99237878971763,83.4929646100783,76.12396926871085,77.86257888062102,77.29403062253928,77.94150964985522,81.99224208407048,2,14,2,7,5,6,1,34,5,9,7,7,40,23,32,0,0,1
1,80.77532966354244,81.78118306767598,83.61373328418634,76.24256947650916,77.85535484648562,77.10667883625885,78.09488851838545,82.19271373370272,2,15,2,7,5,6,1,34,5,9,7,7,40,23,32,0,0,1
1,81.70082071186344,84.46607655549909,82.07842270350251,74.73482622066173,77.94719270199916,79.48844862805957,76.14501036126407,79.644153462749,1,12,2,4,4,5,2,32,5,7,6,5,40,22,29,0,0,1
1,81.94889128889383,85.18574108169598,81.66689480989182,74.33068753107602,77.9718091149313,80.12686323798741,75.62236089809143,78.96103198020289,1,11,2,3,4,5,2,31,5,6,6,4,40,22,28,0,0,1
1,81.91125785579052,85.0765647048452,81.7293254602323,74.39199720560919,77.96807469329849,80.03001284241648,75.70164919517305,79.0646646113782,1,12,2,4,4,5,2,31,5,6,6,4,40,22,29,0,0,1
1,81.64733300645995,84.31090618169912,82.16715423709377,74.82196453198219,77.94188503730643,79.35079694445449,76.25770135771405,79.79144461291536,1,12,2,4,4,5,2,32,5,7,6,5,40,22,29,0,0,1
1,80.05081263072074,79.67932474417421,84.8156451431879,77.42290036351804,77.78345994193946,75.2421197078368,79.6213429766153,84.18784413375191,2,16,2,9,5,6,1,36,5,11,7,9,40,24,34,0,0,1
1,80.86484889287868,82.0408826037394,83.46522853071095,76.09673120552291,77.86423797297763,77.33705837002651,77.90628421989791,81.94620119121336,2,14,2,7,5,6,1,34,5,9,7,7,40,23,32,0,0,1
1,80.55875284475728,81.15288342995974,83.97301572350861,76.59540080695652,77.83386360610328,76.54931404540257,78.55118510715758,82.78910964370826,2,15,2,8,5,6,1,34,5,9,7,7,40,23,33,0,0,1
1,81.1042320290844,82.73534445148977,83.06811235922481,75.70674546786228,77.88799231821427,77.95311567659438,77.40193796034463,81.28700264836739,1,14,2,6,4,5,2,33,5,8,6,6,40,23,31,0,0,1
1,80.5025744730579,80.98990730544101,84.06621084261009,76.6869225577156,77.8282889425855,76.4047378780708,78.6695449552382,82.94381018506911,2,15,2,8,5,6,1,35,5,10,7,8,40,23,33,0,0,1
1,82.02067417286197,83.12762381825853,84.71017154802303,81.92612469,82.8564091536334,83.52801079263139,79.89684396637801,78.22937529921806,1,26,2,9,3,5,1,36,5,11,6,9,25,19,17,0,0,1
2,83.96966280400137,80.33098239532507,82.03871930931525,81.92612469,86.44855381863026,83.13208601508232,80.0405531435761,80.95202982396229,2,31,1,7,5,6,1,33,6,9,4,9,27,17,12,0,0,1
2,83.32485114108121,81.25623510213993,82.92255389558778,81.92612469,85.26011344608058,83.26307544730567,79.99300779002942,80.0512552562671,2,29,1,8,4,6,1,34,6,10,5,9,26,18,14,0,0,1
1,82.90290365680957,81.86169569537425,83.5009115799092,81.92612469,84.48242989250895,83.3487914238786,79.96189538392471,79.46181250175242,1,28,2,8,4,5,1,35,5,10,5,9,26,18,15,0,0,1
2,83.73336989942614,80.6700436470544,82.36260278345807,81.92612469,86.01304676487678,83.18008743191238,80.02313002557956,80.62193864973588,2,30,1,7,5,6,1,34,6,9,4,9,27,17,13,0,0,1
2,83.59473202592898,80.86897780891397,82.55263183319508,81.92612469,85.75752588102321,83.20825084361589,80.01290752637641,80.42826741556492,2,30,1,8,4,6,1,34,6,9,4,9,27,18,13,0,0,1
2,83.22000268097942,81.40668418222515,83.06626825543002,81.92612469,85.06686920105508,83.28437475227796,79.98527676189977,79.90478640070394,2,29,1,8,4,6,1,34,6,10,5,9,26,18,14,0,0,1
1,82.3674101597567,82.63008565498838,84.23490524136996,81.92612469,83.4954717964761,83.45757355852639,79.92241063341008,78.71375077916053,1,27,2,8,4,5,1,35,5,11,6,9,25,18,16,0,0,1
2,83.75740632981793,80.63555330892767,82.32965637486708,81.92612469,86.05734786228594,83.17520458231341,80.02490235794681,80.65551652439319,2,31,1,7,5,6,1,34,6,9,4,9,27,17,12,0,0,1
2,83.61480940776053,80.84016838601788,82.52511203867995,81.92612469,85.79453012972995,83.20417224982195,80.01438793728144,80.45631466715751,2,30,1,8,4,6,1,34,6,9,4,9,27,18,13,0,0,1
1,82.34560931932253,82.66136810191435,84.26478735717762,81.92612469,83.45529107330161,83.4620022620916,79.92080314284243,78.68329592893568,1,27,2,9,3,5,1,35,5,11,6,9,25,19,16,0,0,1
1,82.07031946537025,83.05638682935873,84.6421234200383,81.92612469,82.94790946809216,83.5179256638222,79.90050457476954,78.2987276690166,1,26,2,9,3,5,1,36,5,11,6,9,25,19,17,0,0,1
1,82.72037211153331,82.12361373448218,83.75110508923615,81.92612469,84.14600939929423,83.38587155882887,79.94843637356146,79.20682366820316,1,28,2,8,4,5,1,35,5,10,5,9,26,18,15,0,0,1
2,83.51667253456992,80.98098688043956,82.65962691752333,81.92612469,85.61365588560211,83.22410813814196,80.00715178973616,80.31922161409007,2,30,1,8,4,6,1,34,6,9,4,9,27,18,13,0,0,1
2,83.82975670182789,80.53173636300254,82.23048670286938,81.92612469,86.19069548611185,83.16050705946184,80.03023713120584,80.75658692807467,2,31,1,7,5,6,1,34,6,9,4,9,27,17,12,0,0,1
2,83.42649342028217,81.11038663294255,82.78323420434873,81.92612469,85.44744843877184,83.24242745781036,80.00050240958704,80.19324521298124,2,30,1,8,4,6,1,34,6,9,4,9,27,18,13,0,0,1
1,82.43619830344203,82.53138021927496,84.14061826734213,81.92612469,83.6222539435889,83.44359967994573,79.92748274484883,78.80984490083027,1,27,2,8,4,5,1,35,5,11,6,9,25,18,16,0,0,1
1,82.89941427068011,81.8667026829135,83.50569443407178,81.92612469,84.47599866988979,83.34950027071588,79.96163809314241,79.45693797720047,1,28,2,8,4,5,1,35,5,10,5,9,26,18,15,0,0,1
2,82.76663669358466,86.46510570009406,81.07786875169455,85.55316168283588,85.64039559369937,86.00823716151504,88.44828731428338,84.52962043144704,2,34,1,5,4,5,2,37,6,11,6,2,38,23,29,0,0,1
1,83.9148585074138,85.57832738323035,81.48711522149806,88.83504437557187,82.6445406740344,86.16257581916588,84.2911498453424,84.73405904555285,2,35,2,10,3,5,1,36,6,13,6,4,40,20,25,0,0,1
1,82.274077767176,81.99663618172663,77.02234664256696,86.31229867263097,85.7308939461602,87.82862902327163,82.19460073028087,82.50368891916408,2,36,1,13,4,6,1,37,6,14,4,4,38,30,23,0,0,1
1,82.556785295955,83.35806191892955,79.3500409993409,87.62752494528071,85.67895180439594,86.96003694000389,82.17909730969801,83.66648601937912,2,35,1,14,4,5,1,37,6,13,3,6,36,25,23,0,0,1
1,82.14480512710053,81.91054358541514,75.95797033788014,84.93029525985344,85.75464533978611,88.14723910752014,83.80878622541371,81.97198093223456,2,36,1,10,5,6,1,38,6,14,6,2,40,32,24,0,0,1
1,83.67258180360625,84.9391441223311,80.59687697742051,88.33202956861452,83.02915261165006,86.49477316663018,84.03741153659047,84.2893415311157,2,35,2,10,3,5,1,36,6,13,6,4,40,22,25,0,0,1
1,82.02457795742482,80.79512781055054,74.96807061503337,85.15156303101892,85.77673479993662,88.59519353771043,82.20828307012735,81.47747763807132,2,36,1,11,5,6,1,38,6,15,6,3,39,34,22,0,0,1
1,83.45781216463914,84.37253100592432,79.80771259111972,87.88612491997291,83.37009734833336,86.78925424243934,83.81248159447738,83.89511534875069,2,35,2,10,3,5,1,36,6,13,6,4,40,24,24,0,0,1
1,82.04798848190407,80.73343798472952,74.73927607313969,84.47585962215118,85.79393203,88.68056949233497,82.38126367639488,81.36318358177274,2,36,1,11,5,6,1,38,6,15,6,2,40,34,22,0,0,1
1,82.01572028550207,80.96507062969533,74.89514028651404,84.8009955943471,85.77836222900687,88.59127048556677,82.84568094830671,81.44104537441385,2,36,1,10,5,6,1,38,6,15,6,2,40,34,23,0,0,1
1,82.04091341822736,80.6344169121526,74.60136203319202,84.94436024262865,85.61941048367933,88.73203288267288,82.32855232708549,81.2942887780957,2,36,1,11,5,6,1,38,6,15,6,2,40,34,22,0,0,1
1,84.32025257,80.85849108711345,81.54152799189292,81.13346480756637,80.63075699770499,78.10215981,77.78597535713625,80.328290129419,2,38,1,13,4,5,2,40,6,17,7,8,26,20,11,0,0,1
1,84.32025257,80.19122745813652,81.49375436082217,81.42861802336039,79.56273789123723,78.10215981,77.8539092155118,78.1346072240819,2,38,1,14,4,5,2,40,6,18,5,6,26,18,11,0,0,1
2,84.32025257,79.9675301008781,81.47773844963942,81.52756691176404,79.20468892641554,78.10215981,77.87668375907607,77.39918415098663,2,39,2,14,5,6,1,40,6,18,5,5,25,17,10,0,0,1
1,84.32025257,80.33566337079415,81.50409544297473,81.36472914609249,79.79392135108648,78.10215981,77.83920424972509,78.60945191627589,2,38,1,14,4,5,2,40,6,18,6,6,26,18,11,0,0,1
1,84.32025257,80.54661361230846,81.51919870737392,81.2714187370553,80.13156734086824,78.10215981,77.81772748520655,79.30296782002179,2,38,1,14,4,5,2,40,6,18,6,7,26,19,11,0,0,1
1,84.32025257,80.51435231366301,81.51688891659195,81.28568899790481,80.07993005411004,78.10215981,77.82101199585274,79.19690620318976,2,38,1,14,4,5,2,40,6,18,6,7,26,19,11,0,0,1
1,84.32025257,80.52207063416206,81.51744152006079,81.28227492434095,80.0922839625277,78.10215981,77.82022619655407,79.22228080327491,2,38,1,14,4,5,2,40,6,18,6,7,26,19,11,0,0,1
2,84.32025257,79.83041547094663,81.46792154450586,81.5882173386706,78.98522387814432,78.10215981,77.89064334783001,76.94840876523176,2,39,2,14,5,6,1,40,6,18,5,5,25,17,10,0,0,1
2,84.32025257,79.4173897626171,81.43835041705998,81.770912544471,78.32413682229105,78.10215981,77.93269333940252,75.59055349412034,2,39,2,15,5,6,1,40,6,19,4,3,25,15,10,0,0,1
2,84.32025257,80.01550296896741,81.4811731312285,81.50634689365944,79.28147407921941,78.10215981,77.87179965947117,77.5568988173905,2,39,2,14,5,6,1,40,6,18,5,5,25,17,10,0,0,1
1,84.32025257,80.50373098617982,81.51612846845926,81.29038716940185,80.06292960601803,78.10215981,77.82209334919746,79.16198773390707,2,38,1,14,4,5,2,40,6,18,6,7,26,19,11,0,0,1
1,84.32025257,80.97906490837602,81.5501606357291,81.08013093840167,80.82374690342742,78.10215981,77.77369978187373,80.72468627488318,2,38,1,13,4,5,2,40,6,17,7,9,26,21,11,0,0,1
2,84.32025257,79.30237696530811,81.43011592216403,81.82178658511857,78.14004786602253,78.10215981,77.94440274891393,75.21243966265229,2,39,2,15,5,6,1,40,6,19,3,3,25,15,10,0,0,1
2,84.32025257,79.9140946270001,81.47391266549013,81.5512032247109,79.11916035182148,78.10215981,77.88212400451583,77.22351072822796,2,39,2,14,5,6,1,40,6,18,5,5,25,17,10,0,0,1
1,84.32025257,80.6635851880172,81.52757344362657,81.21967826263463,80.3187915088663,78.10215981,77.80581865320511,79.68752129319103,2,38,1,13,4,5,2,40,6,17,6,8,26,20,11,0,0,1
