目标客户编号,品牌类型,a1,a2,a3,a4,a5,a6,a7,a8,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,购买意愿
566,1,-1.1446033478177855,-1.2296738557548734,-0.9366511045170197,-0.9184717799561795,-0.8551017085667475,-0.9345879306730112,-0.801408732775628,-1.1330932152892035,3,6,2,6,2,3,0.0,31,5,6,2,2,50.0,20,30,20,8,0
568,1,2.083131451193911,2.3647814654982118,0.536740900014047,2.3523192929048515,2.5175010166526772,2.362789137083292,2.41375601890357,1.9236426622764105,2,36,1,2,3,2,0.0,38,4,14,7,9,70.0,43,30,0,30,0
569,1,-1.339911580988192,-2.0617541518284654,-2.472469018863447,-1.7992431648304752,-0.7205678808594855,-0.004004854779549351,-1.6134158547372526,-1.6822377114361708,2,18,1,4,3,2,0.0,26,6,3,4,2,22.0,8,7,30,20,0
570,1,-1.3738222996420377,-0.8332431399546414,1.2665744836882642,-1.4791185691934254,0.02067533194131377,-1.3857308896598097,-2.2403497752023824,-0.8467480593252678,2,7,1,5,1,1,0.0,27,6,4,5,5,35.0,21,13,20,20,0
586,1,1.0195195630727585,0.7106996594055415,0.536740900014047,0.277959299290185,0.39748061146573854,0.5614790908060036,0.9527785969591576,0.7560798417105585,2,13,1,6,2,3,0.0,33,6,9,2,6,25.0,12,7,20,30,0
612,1,-0.35367523362712455,-0.12012626373214495,0.13970342250042317,-0.2072908509726116,-0.007911314311577928,-0.07970136948169941,-0.09931290274365544,-0.05388312087291695,1,6,2,4,1,1,0.0,31,6,6,3,2,50.0,40,30,10,10,0
613,1,0.17876869808892612,-0.12012626373214495,0.9022506809257992,0.6532331899104784,0.5192526897895829,-0.004004854779549351,-0.09931290274365544,0.05984151138943,2,26,1,6,1,1,0.0,28,4,6,4,4,80.0,75,66,0,0,0
616,1,-1.3228832130993389,-1.2296738557548734,-1.7054672641306756,-1.2844226537110006,-0.5658829697624259,-0.9345879306730112,-1.2197185681456477,-1.1039876024969104,2,20,1,6,2,3,0.0,34,4,8,2,2,20.0,8,15,0,0,0
621,1,-1.226441927174219,-1.0167076053615023,-0.9366511045170197,-1.2844226537110006,-1.2666990804189453,-1.1747847349894047,-1.2197185681456477,-1.1330932152892035,2,10,1,2,2,3,0.0,31,5,5,4,4,10.0,5,7,0,0,0
630,1,-1.5881038005798247,-1.0167076053615023,-0.9366511045170197,-1.00014614197404,-0.5496632010757968,-1.3857308896598097,-1.23662574149625,-1.9629164488134285,2,10,1,2,2,3,0.0,36,6,11,4,2,15.0,10,7,0,0,0
633,1,0.6847540462650608,0.21608827915139303,0.536740900014047,0.33401189302105894,0.02067533194131377,-0.07970136948169941,0.4608451365945331,0.44479818103454044,2,15,3,10,2,3,0.0,36,5,13,3,3,25.0,12,10,35,0,0
661,1,0.3000613668266782,0.06520263368100088,-0.2808267984439517,1.1155591414704282,0.3787017432356712,-0.07970136948169941,-0.3667742366204601,-0.4248259360240788,2,25,2,6,1,1,0.0,26,6,3,4,5,25.0,15,10,18,30,0
665,1,-1.5279917913589238,-0.40263726696486085,-0.9366511045170197,-0.5621208054802014,-1.5170379828221678,-1.1747847349894047,-1.4154738075864448,-0.5023782351800946,1,2,2,2,1,1,0.0,21,4,1,4,8,20.0,15,10,50,7,0
666,1,-0.8895071121001062,0.06520263368100088,0.13970342250042317,-0.2072908509726116,-0.5718083322489982,-0.12096111446663933,-0.10087008056694087,-0.4248259360240788,2,10,2,5,2,3,0.0,31,6,8,3,4,30.0,15,9,30,25,0
677,1,1.2476414971358407,1.2132753032826056,1.281258685178796,1.1155591414704282,1.2696091624616548,1.1839910135617733,1.2026645611263997,1.187597787991265,2,28,2,4,2,3,0.0,29,6,5,3,2,24.0,13,14,20,8,0
679,1,1.47555564506256,0.5001685461361631,0.536740900014047,1.575392546383467,1.2696091624616548,-0.3920880598697322,1.2237671878935605,1.187597787991265,2,29,3,5,4,4,0.0,29,5,7,5,4,30.0,11,14,15,25,0
690,1,-0.9579192198145247,-0.7946582181047994,-0.627776188858202,-0.9184717799561795,-0.3679727414671115,-0.6478461889136202,-0.5941619691573675,-0.8154322258675485,1,7,3,12,1,1,0.0,34,6,9,2,2,18.0,14,10,20,10,0
694,1,0.554226651165027,0.5989078790694186,0.9168676754493987,0.22720389918898612,0.39060177126564466,0.9494565524025962,0.4815605688049265,1.150996495436795,2,7,1,2,4,4,0.0,28,6,5,4,7,50.0,23,30,20,7,0
698,1,1.8693978246653105,1.3554890973383322,1.281258685178796,1.5229344491769798,1.2696091624616548,1.1839910135617733,1.2026645611263997,2.3599814450951264,1,10,1,3,3,2,0.0,27,6,3,4,8,12.0,6,8,0,0,1
699,1,1.8550500581428604,2.199597457922195,2.0370746691693506,1.575392546383467,1.6281963140222402,1.4742790025231733,1.4305724142336378,1.5363975615133252,2,12,1,6,4,4,0.0,30,6,5,4,3,32.0,20,13,10,20,0
708,1,0.2907818884854405,-0.21828355726565496,-0.9366511045170197,-0.5135035783884722,-1.0165289623561582,0.3154962722349235,-1.0394102428348757,-0.0033276173512825475,1,6,2,2,2,3,0.0,25,6,2,4,5,20.0,12,13,0,5,0
710,1,-1.2909602794212893,-1.905809232794122,-0.9366511045170197,-0.6936361999146232,-0.9755081190376905,-1.6440414525458429,-1.7674101230626016,-1.934412739057116,2,24,1,2,3,2,0.0,26,6,2,5,4,24.0,9,12,18,0,0
724,1,-1.671916778219946,-2.1584143312658304,-1.7054672641306756,-1.830070018581426,-1.734533721953405,-1.8098658139125061,-1.0316699090797055,-1.1683032719258963,2,24,1,2,3,2,0.0,26,6,2,6,3,24.0,9,14,0,25,0
726,1,-0.22533016341947684,-0.536391726194921,-0.627776188858202,-0.6520757896272974,-0.8605197031599902,-0.42640286240458525,-0.5941619691573675,-0.8467480593252678,1,5,2,10,1,1,0.0,34,5,10,3,5,20.0,15,13,11,10,0
744,1,-2.064044175574273,-1.4393498462078782,-0.9366511045170197,-1.6199492550907206,-2.2519142435013086,-1.6692868242469339,-1.7861651949963036,-2.0148641766450583,2,23,2,3,3,2,0.0,25,5,2,5,4,35.0,15,25,15,10,0
745,1,-1.7775245459277262,-2.074146613465721,-1.4669149231381904,-1.895127978515222,-1.734533721953405,-1.6440414525458429,-1.9447514744702858,-1.4003854372801838,2,10,2,5,4,4,0.0,27,6,6,2,5,30.0,25,20,20,15,0
746,1,0.7474964984989239,1.2132753032826056,-0.30988536384468635,-1.5169082903692288,-1.4601922279082118,-0.07970136948169941,0.7165785164560138,-0.4248259360240788,1,10,1,3,3,2,0.0,32,5,8,6,2,30.0,16,20,10,5,0
1069,1,0.6019098790489938,0.4687244775792747,0.536740900014047,0.22720389918898612,0.5974585239574847,0.6196641724370361,0.9673294692186638,1.150996495436795,2,25,1,5,1,1,0.0,27,6,3,4,8,34.0,12,12,25,15,0
1072,1,1.0400367231468641,0.16543151988055305,0.13970342250042317,0.33401189302105894,0.717020489000627,0.5614790908060036,0.7018312162278054,0.7560798417105585,2,29,1,7,3,2,0.0,30,6,7,4,6,13.0,8,5,10,20,0
1073,1,0.8108915581996673,1.2132753032826056,1.281258685178796,0.7063520597970705,0.5791282670319288,0.8925266950454905,0.7018312162278054,0.7560798417105585,2,29,2,7,3,2,0.0,30,6,7,4,4,18.0,11,8,10,20,0
1075,1,-0.22533016341947684,-0.12012626373214495,0.13970342250042317,-0.2072908509726116,-0.007911314311577928,-0.07970136948169941,-0.09931290274365544,-0.05388312087291695,2,8,1,8,2,3,0.0,29,6,8,2,2,50.0,40,46,15,10,0
1108,1,0.42499651546919615,-0.4941555114194779,0.536740900014047,-0.2072908509726116,0.24659529445048756,0.6196641724370361,0.19148454239144433,-0.5023782351800946,2,6,2,9,2,3,0.0,33,5,9,7,9,60.0,50,40,10,10,0
1110,1,-1.5117048035821268,-1.1674833385157113,-0.6403047817915861,-1.5831285650248184,-0.6913637772338835,-1.6440414525458429,-1.2207677382382924,-1.4602007728815054,2,27,2,2,3,2,0.0,29,4,4,4,8,15.0,6,12,0,0,0
1115,1,-1.0606642209312782,-0.707882490178483,-0.29524303144692593,-0.2623842937108594,-0.007911314311577928,-0.33523993368352845,-0.3734574658053998,-0.5366616635386823,2,35,1,10,2,3,0.0,37,4,10,4,5,15.0,12,10,25,15,0
1116,1,1.2476414971358407,1.2132753032826056,1.281258685178796,1.1155591414704282,1.2696091624616548,1.1839910135617733,1.2026645611263997,1.187597787991265,2,29,2,6,2,3,0.0,38,6,12,6,4,19.0,12,6,20,30,0
1121,1,1.2476414971358407,1.2132753032826056,1.281258685178796,1.1155591414704282,1.2696091624616548,1.1839910135617733,1.2026645611263997,1.187597787991265,2,29,2,5,2,3,0.0,40,6,15,5,4,41.0,27,22,20,0,0
1304,1,0.380008561908237,0.8108899744826572,0.9022506809257992,0.8532550257316327,0.39748061146573854,0.04719301237584018,-0.3654559809037854,-0.7768877015927913,2,8,1,5,2,2,0.0,34,5,10,4,2,10.0,5,7,10,10,0
1309,1,-1.5881038005798247,-1.5069273039413467,-0.2808267984439517,-1.359057379306011,-1.5963071926479468,-1.6029766878569194,-1.40433915401398,-1.4003854372801838,1,5,3,3,2,3,0.0,28,6,3,4,4,30.0,25,22,60,10,0
1311,1,-0.10993811030779273,-0.6606412864319086,0.536740900014047,-0.6048056179299874,-0.6913637772338835,0.27784483378000585,0.21521716529398482,-0.5023782351800946,2,6,3,3,3,2,0.0,30,6,6,3,4,35.0,12,23,30,10,0
1313,1,0.6019098790489938,-0.12012626373214495,-0.9366511045170197,-0.2072908509726116,-0.3743542459422936,-0.33523993368352845,-0.5743796340183649,-0.5023782351800946,1,21,1,8,2,3,0.0,37,4,12,4,2,28.0,18,15,20,8,0
1316,1,-1.4172660925811944,-1.88582175049901,-1.2180982158151756,-0.5621208054802014,-0.8199248300874641,0.21552849393778906,-1.0351401151037585,-0.46003120410375115,1,7,1,4,4,4,0.0,26,6,4,6,4,10.0,5,9,15,5,0
1475,1,-1.705914761220569,-1.9085014938598093,-1.7054672641306756,-2.1228606825629988,-1.9421041304620208,-2.0299872126081344,-2.09764698842284,-1.7072322268108877,2,30,1,1,1,1,0.0,33,6,7,5,4,12.0,7,8,0,0,0
1477,1,1.2476414971358407,1.2132753032826056,1.281258685178796,1.1155591414704282,1.2696091624616548,1.1839910135617733,1.2026645611263997,1.187597787991265,2,30,1,5,2,3,0.0,32,6,6,3,5,23.0,12,15,0,0,1
1486,1,0.4664054388782212,0.842921260245631,0.536740900014047,0.7063520597970705,0.717020489000627,0.3154962722349235,0.7220089979127282,0.44479818103454044,2,11,2,9,2,3,0.0,32,6,8,7,9,30.0,25,26,10,10,0
1487,1,-0.41314547165071924,0.0516467713969343,-0.627776188858202,-0.2072908509726116,0.5791282670319288,0.6196641724370361,0.21375452846671794,-0.5023782351800946,1,15,1,10,1,1,0.0,31,6,8,7,9,30.0,20,20,10,5,0
1493,1,1.2476414971358407,1.2132753032826056,1.281258685178796,1.1155591414704282,1.2696091624616548,1.1839910135617733,1.2026645611263997,1.187597787991265,2,30,1,5,2,3,0.0,32,6,6,3,5,25.0,16,11,0,30,1
1495,1,1.2476414971358407,1.2132753032826056,1.281258685178796,1.1155591414704282,1.2696091624616548,1.1839910135617733,1.2026645611263997,1.187597787991265,2,30,1,5,2,3,0.0,32,6,6,3,5,33.0,12,24,0,0,1
1496,1,0.7218733206952387,-0.18895650848654955,0.13970342250042317,0.7063520597970705,0.9310230979087157,0.5972649061323633,0.22262977042154877,0.31201581048813476,2,30,2,4,2,3,0.0,31,5,7,6,4,24.0,15,12,25,11,0
1497,1,0.2705563049510264,1.047839493515867,0.13970342250042317,0.6057369443908975,1.3883789817863834,0.6552450663486219,2.41375601890357,0.8829508446476038,2,29,1,5,2,3,0.0,30,6,6,5,7,23.0,14,12,16,12,0
1528,1,-0.5715919655450893,-2.1584143312658304,-0.6530702333494266,-1.00014614197404,0.9310230979087157,0.2539786602462479,-0.12564490550217305,1.2322211177312052,1,5,1,3,3,2,0.0,29,6,4,2,5,36.0,18,12,0,0,0
1529,1,-1.1277512227328843,0.16543151988055305,-0.9366511045170197,1.1155591414704282,0.9129392522525978,1.1839910135617733,0.19148454239144433,0.44479818103454044,2,30,3,8,3,2,0.0,31,6,8,5,4,50.0,30,26,20,10,0
1532,1,0.6374275781727646,0.9854111480754747,0.536740900014047,0.7535158022137463,0.717020489000627,0.5614790908060036,0.7220089979127282,0.7560798417105585,2,20,2,9,2,3,0.0,36,4,11,6,1,80.0,60,50,10,10,0
1533,1,1.2476414971358407,1.694995423735479,2.0370746691693506,1.4762409112002697,2.314001295305848,1.7996035940958772,2.162193228647555,1.5363975615133252,2,22,2,3,2,3,0.0,24,5,1,5,8,66.0,21,19,30,20,0
1534,1,2.0624347698377488,1.584012547201439,2.326226100467026,1.1155591414704282,1.609936714618608,1.4742790025231733,1.679513025246377,1.6178141988801746,2,23,1,3,2,3,0.0,25,6,1,5,7,43.0,26,11,30,25,0
1538,1,-0.6093460022773941,-0.27242837945301684,-0.627776188858202,-0.961880650748461,-0.5556212505213315,-0.699268852162473,-0.8141822255429525,-0.4248259360240788,2,25,1,2,3,2,0.0,26,6,2,4,4,30.0,25,20,10,8,0
1539,1,-0.10993811030779273,0.024011410336905133,1.281258685178796,0.6532331899104784,-0.6970542303648509,-0.035600660646174453,1.2026645611263997,0.3981118218002871,2,28,1,5,3,2,0.0,29,6,6,7,9,10.0,5,7,10,5,0
1541,1,-0.9579192198145247,-0.35823962630108097,-0.627776188858202,-0.5621208054802014,-0.23208334147027965,-0.699268852162473,-0.3734574658053998,-0.8154322258675485,2,28,2,7,3,2,0.0,29,6,5,5,5,45.0,15,30,0,0,0
1544,1,-0.6172235504062962,0.8706378403707917,0.536740900014047,-0.09688479654071289,0.14210304470763563,0.5614790908060036,0.21521716529398482,0.3981118218002871,2,28,2,5,3,2,0.0,29,6,4,2,4,40.0,12,22,15,10,0
1551,1,-0.4354114440691229,-0.847328659737202,-0.9366511045170197,-0.2072908509726116,-1.1352597165436835,-0.42640286240458525,-0.09931290274365544,-0.05388312087291695,2,29,3,7,4,4,0.0,31,6,5,4,8,23.0,7,10,15,10,0
1552,1,-1.073738342085395,-0.9011149231565037,-0.9366511045170197,-0.9184717799561795,-0.5718083322489982,-0.9531014222107418,-0.8141822255429525,-0.5023782351800946,2,25,2,5,1,1,0.0,26,6,3,4,5,28.0,9,12,0,30,0
1554,1,-0.8322130552245786,-0.9576036207740134,-1.4669149231381904,-0.9184717799561795,-0.23208334147027965,-1.6029766878569194,-0.36809180682695364,-0.8154322258675485,2,29,1,9,3,2,0.0,31,6,6,4,7,36.0,12,20,0,0,0
1558,1,-1.3071755338926625,-1.6361036287221034,-0.9366511045170197,-1.830070018581426,-1.3821216237954048,-1.8339470871454113,-1.4154738075864448,-1.7322799722410536,2,26,2,3,1,1,0.0,27,6,1,6,8,15.0,15,12,0,0,0
1561,1,0.42499651546919615,0.32011849493588884,-1.2076758477774958,0.7063520597970705,0.39748061146573854,0.5614790908060036,0.46642995248634356,-0.5023782351800946,2,19,1,15,2,3,0.0,38,5,15,3,3,37.0,19,13,30,20,0
1562,1,-0.7216744175742275,-0.6103527924366269,-0.29524303144692593,-0.961880650748461,-0.8551017085667475,-0.699268852162473,-0.607656734095589,-0.4248259360240788,1,25,2,5,1,1,0.0,26,6,3,4,8,37.0,12,19,0,25,0
1563,1,-0.9579192198145247,-1.0530664036089488,-0.627776188858202,-0.5621208054802014,-0.3916702004937041,-0.3920880598697322,-0.607656734095589,-0.8154322258675485,1,25,2,4,1,1,0.0,26,6,3,4,8,53.0,29,29,0,20,0
1567,1,-0.6689856679504158,-0.5828402806439399,-1.4669149231381904,0.277959299290185,-1.246618708946246,-0.9237965722917751,-0.34264432522606536,-0.7449747431997326,1,10,1,5,4,4,0.0,29,5,5,4,8,36.0,12,16,30,15,0
1568,1,-0.08572568682286806,-0.12012626373214495,0.13970342250042317,-0.2072908509726116,-0.007911314311577928,-0.07970136948169941,-0.09931290274365544,0.7190351706770207,2,35,1,10,3,2,0.0,36,4,11,7,9,20.0,9,10,0,0,0
1569,1,-1.598347447536894,-1.5964366022247127,-0.9366511045170197,-2.1830934172844643,-1.3997007460256627,-1.8339470871454113,-1.2197185681456477,-1.1330932152892035,2,22,1,3,1,1,0.0,24,5,3,8,10,30.0,10,20,0,17,0
1570,1,-1.226441927174219,-1.2296738557548734,-0.627776188858202,-0.961880650748461,-1.3646805027789768,-1.1747847349894047,-1.4306677392671312,-1.4003854372801838,2,26,1,1,4,4,0.0,27,5,2,7,9,35.0,10,25,15,7,0
1571,1,0.13699169239129452,0.9440061701396246,0.13970342250042317,-0.2072908509726116,-0.23208334147027965,-0.18478386841660382,0.21521716529398482,0.3981118218002871,2,24,1,2,4,4,0.0,26,5,5,4,5,15.0,8,10,30,10,0
1579,1,-0.8183297640413478,-0.7355594800928535,-0.29524303144692593,-0.6520757896272974,-0.3743542459422936,-1.1467542303997214,-0.818879230669675,0.3981118218002871,1,25,2,3,1,1,0.0,26,6,3,4,7,31.0,12,11,25,20,0
1580,1,-0.6155701707163984,-0.46427052669762403,-0.9366511045170197,-0.5621208054802014,-0.8402826227096605,-0.3920880598697322,0.19897828121142944,-1.1330932152892035,1,25,3,4,1,1,0.0,26,6,1,2,8,33.0,18,9,25,25,0
1581,1,0.7287655660172986,-0.9386005106586786,1.281258685178796,-0.2072908509726116,-0.3743542459422936,-0.42640286240458525,0.4594747904054046,0.44479818103454044,1,5,2,5,1,1,0.0,26,5,4,4,5,45.0,22,30,30,10,0
1700,1,-0.5595489923609147,-0.6141809149789592,0.13970342250042317,-0.09688479654071289,0.9376532765858557,-0.9345879306730112,-0.802564768159533,0.010623262144330807,1,7,1,6,3,2,0.0,33,4,8,4,6,23.0,8,20,13,10,0
1703,1,-0.08572568682286806,-0.7392473499852226,-0.29524303144692593,-0.5621208054802014,-0.3916702004937041,-0.9345879306730112,-0.3467368349933931,-0.5023782351800946,1,5,1,8,2,3,0.0,28,4,3,4,8,20.0,10,10,50,0,0
1707,1,-1.226441927174219,-1.2296738557548734,-0.9366511045170197,-1.2844226537110006,-1.1215809042068516,-0.42640286240458525,-0.09931290274365544,-0.46003120410375115,1,7,1,10,3,2,0.0,32,6,8,4,2,22.0,15,10,30,10,0
1708,1,1.0195195630727585,0.7319415847851223,0.9022506809257992,1.0689223897257756,0.37179970838765247,0.5614790908060036,0.21521716529398482,-0.10773144900326735,1,12,1,8,3,2,0.0,33,6,8,4,5,20.0,10,6,25,20,0
1713,1,-0.15580018250546857,-0.5029772208206935,-0.29524303144692593,-0.5621208054802014,0.25371774805805436,-0.3920880598697322,-0.09775282395937737,-0.8154322258675485,2,35,2,10,3,2,0.0,35,5,12,6,2,20.0,10,16,30,0,0
1716,1,1.683351930937395,2.2039650235008756,1.6638157217738319,2.3523192929048515,1.2696091624616548,1.7996035940958772,1.678206293509408,2.3599814450951264,1,10,6,1,3,2,0.0,22,4,1,4,7,15.0,8,9,0,0,1
1718,1,-1.4467749272573707,-0.5952583176315754,-0.9366511045170197,-1.2844226537110006,-0.3916702004937041,-0.9049274103724998,-0.818879230669675,-0.05388312087291695,2,23,1,3,3,2,0.0,24,6,3,7,9,22.0,17,10,30,6,0
1723,1,-0.41978206063952334,-0.12012626373214495,-1.7054672641306756,-0.5621208054802014,-0.6757939265587742,-0.9345879306730112,-0.607656734095589,0.05984151138943,2,28,1,1,2,3,0.0,30,6,5,5,4,22.0,12,14,0,0,0
1729,1,-0.9407749592220356,-0.623882230279725,-0.29524303144692593,-0.5188527318654994,-0.5718083322489982,-1.1747847349894047,-0.5953836713434706,-0.46769634382351494,1,30,1,8,2,3,0.0,43,6,18,5,3,20.0,10,12,2,2,0
1732,1,-1.1277512227328843,-1.3358939144244555,-0.9366511045170197,-1.2844226537110006,-0.8551017085667475,-0.699268852162473,-1.5875545959217983,-0.05388312087291695,2,21,1,2,3,2,0.0,22,6,1,3,8,24.0,20,10,30,30,0
1799,1,-0.3789579923237508,0.3155871120219906,-0.2808267984439517,-0.2072908509726116,0.5444299566098183,-0.07970136948169941,0.21375452846671794,-0.05388312087291695,2,32,1,10,3,2,0.0,34,5,9,5,1,20.0,9,14,50,0,0
1808,1,1.2043166137379098,1.3765581013035562,1.281258685178796,2.3523192929048515,1.2696091624616548,1.7429573839312282,1.6848416935094765,2.3599814450951264,2,28,1,7,2,3,0.0,38,6,14,4,2,17.0,10,4,25,0,0
1811,1,-0.7626934431622815,-1.1204455975325573,-1.4669149231381904,-0.6048056179299874,-0.8402826227096605,-0.9345879306730112,0.4594747904054046,-0.05388312087291695,2,4,1,6,4,4,0.0,40,6,15,4,7,17.0,11,5,0,50,0
1815,1,-0.0835520690175375,-0.3459215159341876,-0.2808267984439517,-0.6100027236449338,0.9063069655819632,2.0694288022675504,1.9343253583288635,2.0056958920834247,2,20,2,8,2,3,0.0,33,6,8,1,2,28.0,16,16,30,20,0
1820,1,-2.035397260869974,-1.806120234943128,-1.4669149231381904,-2.3667106535927576,-1.8314444530355107,-1.9928922847351342,-2.4002237176187418,-2.2762432351359454,2,20,1,2,3,7,0.0,33,6,9,6,2,45.0,18,6,30,25,0
1855,1,-0.7946535692847753,-0.5952583176315754,-0.29524303144692593,-0.2072908509726116,-0.8402826227096605,-0.9049274103724998,-0.801408732775628,-1.0682091887656073,1,25,3,4,1,1,0.0,26,6,3,5,8,35.0,12,13,20,20,0
1857,1,-0.5130936487220139,-0.5952583176315754,0.13970342250042317,-0.9184717799561795,-0.5556212505213315,-0.07970136948169941,-1.0150628841825242,-0.8467480593252678,2,28,1,9,3,2,0.0,29,5,4,3,5,40.0,22,24,0,0,0
1861,1,-0.8705233865460423,-0.41716390662833536,-0.29524303144692593,-1.042668515073714,-0.1964628454561201,-0.004004854779549351,-1.5905317922374367,-1.4868641240383786,1,12,3,8,2,3,0.0,29,5,5,3,8,25.0,12,10,30,10,0
1862,1,-0.5905225461069498,-0.6141809149789592,0.13970342250042317,-0.2072908509726116,-1.369368620523208,-0.3920880598697322,-0.5879518154141657,-0.4248259360240788,2,28,1,9,3,2,0.0,30,7,3,4,4,34.0,24,25,0,0,0
1865,1,-1.1277512227328843,-0.9645735455400338,0.9022506809257992,0.7063520597970705,-0.8752517918289888,-0.699268852162473,-1.2197185681456477,-0.05388312087291695,2,10,2,4,3,2,0.0,34,5,10,4,4,30.0,20,18,50,0,0
1878,1,-0.31173136998451545,-0.5952583176315754,-0.627776188858202,-0.5621208054802014,-0.9650173642549942,-0.9345879306730112,-0.607656734095589,-0.8154322258675485,2,17,1,3,4,4,0.0,23,5,1,2,4,21.0,10,8,0,35,0
1885,1,-0.08572568682286806,0.4357314149806872,-0.9366511045170197,-0.6048056179299874,-0.8402826227096605,-0.07970136948169941,-0.10087008056694087,0.44479818103454044,2,20,1,10,2,3,0.0,35,6,10,7,9,32.0,16,10,50,5,0
1892,1,-1.226441927174219,-1.6670293261727023,-0.9366511045170197,-1.830070018581426,-1.6082412221160136,-1.6029766878569194,-1.2186691532256118,-1.1619906599669596,2,31,1,10,2,3,0.0,33,6,8,4,5,19.0,11,5,0,40,0
1895,1,-1.1277512227328843,-0.27242837945301684,0.13970342250042317,-0.2072908509726116,-0.007911314311577928,-0.7305071511780511,-0.09931290274365544,-0.5023782351800946,2,30,1,6,2,3,0.0,32,6,5,7,9,35.0,30,22,30,5,0
1902,1,-0.08572568682286806,-0.536391726194921,-0.29524303144692593,-0.9184717799561795,-0.9702666626961052,-1.1747847349894047,-0.5891757148995398,-1.1330932152892035,1,10,2,8,4,4,0.0,32,5,6,6,5,80.0,60,50,10,10,0
